BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_0,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_0,0,operator,Good morning and welcome to the Volvo Group report for the first quarter of 2014.,,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_1,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_1,1,operator,"We will start by the presentation by Olof Persson followed by our CFO, Jan Gurander.",,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_2,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_2,2,presentation,Thank you very much and good morning to all of you and welcome to this first quarter Volvo Group presentation.,,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_3,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_3,3,presentation,"And I would like to start with basically recapping a little bit what I ended with in the Q4, with a focus of the year of the efficiency and our two key focus areas.",,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_4,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_4,4,presentation,"One, as you remember, was about making sure that we continued and kept our positive momentum when it comes to the market share, our positions in the markets.",,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_5,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_5,5,presentation,"And also then, of course, related to our introduction of the new vehicles in Europe in particular, both on the Volvo range and the Renault range.",,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_6,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_6,6,presentation,And the second part which was then the capital cost and process efficiency.,,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_7,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_7,7,presentation,"And if we look at on a general term and on a highlight -- and I will come back in more detail -- we can see that, in general, you can say that we are executing according to that.",,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_8,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_8,8,presentation,If we look at the market and our market position we do continue the positive momentum that we had in the truck business when it comes to market shares and market position.,,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def,83be5623e5666d7f86e0598c58df4612548a6def_9,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call_9,9,presentation,And we do that also with a positive price realization.,,,,,,sentence-level event detection,2021-05-26_10:11:22,,earnings call transcript,various,Q1_2014_Volvo_AB_Earnings_Press_Conference_Call
