BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_0,Q1_2016_SBA_Communications_Corp_Earnings_Call_0,0,operator,"Ladies and Gentlemen, thank you for standing by and welcome to the SBA first quarter results call.",,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_1,Q1_2016_SBA_Communications_Corp_Earnings_Call_1,1,operator,(Operator Instructions),,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_2,Q1_2016_SBA_Communications_Corp_Earnings_Call_2,2,operator,As a reminder today's conference is being recorded.,,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_3,Q1_2016_SBA_Communications_Corp_Earnings_Call_3,3,operator,"I would now like to turn the conference over to Vice President of Finance, Mark DeRussy.",,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_4,Q1_2016_SBA_Communications_Corp_Earnings_Call_4,4,operator,Please go ahead.,,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_6,Q1_2016_SBA_Communications_Corp_Earnings_Call_6,6,presentation,"Good evening, everyone, and thank you for joining us for SBA's first quarter 2016 earnings conference call.",,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_7,Q1_2016_SBA_Communications_Corp_Earnings_Call_7,7,presentation,"Here with me today are Jeff Stoops, our President and Chief Executive Officer, and Brendan Cavanagh, our Chief Financial Officer.",,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_8,Q1_2016_SBA_Communications_Corp_Earnings_Call_8,8,presentation,Some of the information we will discuss on this call is forward-looking including but not limited to any guidance for 2016 and beyond.,,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_10,Q1_2016_SBA_Communications_Corp_Earnings_Call_10,10,presentation,"Everything we say here today is qualified in its entirety by cautionary statements and risk factors set forth in today's press release and in our SEC filings, which documents are publicly available.",,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_11,Q1_2016_SBA_Communications_Corp_Earnings_Call_11,11,presentation,"These factors and others have affected historical results, may affect future results, and may cause future results to differ materially from those expressed in any forward-looking statement we may make.",,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_12,Q1_2016_SBA_Communications_Corp_Earnings_Call_12,12,presentation,"Our statements are as of today, May 2, and we have no obligation to update any forward-looking statement we may make.",,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_15,Q1_2016_SBA_Communications_Corp_Earnings_Call_15,15,presentation,"In addition to the Regulation G information, this package also contains other current and historic financial data.",,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993,782878b6bc7bae9ca746947d2b477659cc1a5993_16,Q1_2016_SBA_Communications_Corp_Earnings_Call_16,16,presentation,This is located on our investor relations landing page at www.IR.,,,,,,sentence-level event detection,2021-05-26_10:11:18,,earnings call transcript,various,Q1_2016_SBA_Communications_Corp_Earnings_Call
