BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_0,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_0,0,operator,Welcome to the Marathon Oil Corporation's second quarter 2013 earnings conference call.,,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_1,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_1,1,operator,I will now turn the call over to Howard Thill.,,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_2,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_2,2,operator,You may begin.,,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_4,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_4,4,presentation,"Good morning, everyone.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_5,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_5,5,presentation,I too would like to welcome you to Marathon Oil Corporation's second quarter 2013 earnings webcast and teleconference.,,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_6,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_6,6,presentation,"On the call today with me are Clarence Cazalot, Executive Chairman; Lee Tillman, President and CEO; and Janet Clark, Executive Vice President and CFO.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_8,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_8,8,presentation,The call will include forward-looking information.,,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_9,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_9,9,presentation,"As we've changed the format, with the prepared remarks being issued last night, I refer you to the forward-looking statement in that slide deck, along with the myriad of SEC filings, including our 10-K, 10-Q's and other filings, which provide additional risk factors.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_10,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_10,10,presentation,"Before we get started, I would like to ask you to block out an important date on your calendar.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54,54226eb3c73d7e86eeddfc7acfbddfd036df7b54_11,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call_11,11,presentation,"As Clarence mentioned last night in the prepared remarks, we're holding an analyst meeting in December.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q2_2013_Marathon_Oil_Corporation_Earnings_Conference_Call
