BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_0,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_0,0,operator,"Good day, ladies and gentlemen, and welcome to the Q2 FY 2016 Results Conference Call for ICICI Bank.",,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_1,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_1,1,operator,"As a reminder, all participant lines will be in the listen-only mode and there will be an opportunity for you to ask questions after the presentation concludes.",,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_2,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_2,2,operator,(Operator Instructions) I now hand the conference over to Mr. N.S.,,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_3,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_3,3,operator,"Kannan, Executive Director of ICICI Bank.",,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_4,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_4,4,operator,"Thank you and over to you, Mr. Kannan.",,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_6,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_6,6,presentation,Good evening to all of you.,,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_7,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_7,7,presentation,"Welcome to the Conference Call on the financial results of ICICI Bank for the quarter ended September 30, 2015.",,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_8,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_8,8,presentation,That's the second quarter of the fiscal year 2016.,,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_9,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_9,9,presentation,"My remarks today, I will cover first the macroeconomic and the monetary environment.",,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_10,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_10,10,presentation,"Then we'll talk about our performance during the quarter, including performance on our 5Cs strategy and outlook on key parameters, and then finally, the performance of our subsidiaries and the consolidated results.",,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_11,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_11,11,presentation,Let me start with the first part on the macroeconomic and monetary environment.,,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_12,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_12,12,presentation,Global macroeconomic conditions continue to remain volatile during the second quarter.,,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886,8fc586a224f9bdaff93ad23ba7a534d9a6cad886_13,Q2_2016_ICICI_Bank_Ltd_Earnings_Call_13,13,presentation,"Three key issues were in focus during the period; one, the potential withdrawal of accommodative monetary stance by the US Fed; two, the economic slowdown and currency depreciation in China and the resultant market volatility; and three, continued weak global commodity prices and currency depreciation in key commodity exporting economies.",,,,,,sentence-level event detection,2021-06-10_10:53:26,,earnings call transcript,various,Q2_2016_ICICI_Bank_Ltd_Earnings_Call
