BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_0,Q4_2015_NiSource_Inc_Earnings_Call_0,0,operator,"Good day, ladies and gentlemen, and welcome to the fourth-quarter 2015 NiSource earnings conference call.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_1,Q4_2015_NiSource_Inc_Earnings_Call_1,1,operator,(Operator Instructions),,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_3,Q4_2015_NiSource_Inc_Earnings_Call_3,3,operator,"I would now like to introduce your host for today's conference, Randy Hulen, Vice President of Investor Relations.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_4,Q4_2015_NiSource_Inc_Earnings_Call_4,4,operator,Please go ahead.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_5,Q4_2015_NiSource_Inc_Earnings_Call_5,5,presentation,"Thank you, Cat, and good morning, everybody.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_6,Q4_2015_NiSource_Inc_Earnings_Call_6,6,presentation,"On behalf of NiSource, welcome to our quarterly investor call.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_7,Q4_2015_NiSource_Inc_Earnings_Call_7,7,presentation,"Joining me this morning are Joe Hamrock, our Chief Executive Officer, and Donald Brown, our Chief Financial Officer.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_8,Q4_2015_NiSource_Inc_Earnings_Call_8,8,presentation,"As you know, the purpose of today's call is to review the NiSource financial performance for 2015, as well as provide a business update covering our utility operations and growth drivers.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_9,Q4_2015_NiSource_Inc_Earnings_Call_9,9,presentation,We will then open the call to your questions.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0,df6d1cf48d22f6edf8a8a062691ef854d781eaa0_10,Q4_2015_NiSource_Inc_Earnings_Call_10,10,presentation,"As a reminder, we will be referring to supplemental slides, that are available on the NiSource website.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q4_2015_NiSource_Inc_Earnings_Call
