BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,ADJ_LABEL,ADJ_LABEL2,ADJ_LABEL3,ADJ_COMMENTS,ADJ_ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_0,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_0,0,presentation,"Well, good morning, and welcome to the first half 2017 results of Schneider Electric.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_1,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_1,1,presentation,"Very glad that you could join us here in Paris, and I know that there's a lot of people on the phone line.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_2,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_2,2,presentation,"To present the results today, we have our Chairman and CEO, Jean-Pascal Tricoire; and our Deputy CEO and CFO, Emmanuel Babeau.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_3,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_3,3,presentation,"The call is slotted for 90 minutes, but you might have noticed, we have 2 press releases today.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_4,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_4,4,presentation,So we will attempt to -- we can possibly go slightly over if required.,,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_5,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_5,5,presentation,"Just before we begin, I have to draw your attention to the disclaimer on Page 2.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_7,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_7,7,presentation,Statements are of course subject to company's current expectations and assumptions and are therefore subject to certain risks and uncertainties.,,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_8,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_8,8,presentation,"So with that, I'd like to hand over to Jean-Pascal.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_10,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_10,10,presentation,"Well, good morning to all of you.",,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d,b482f0dfddbdd77beda505e69a4209ee2ad20e3d_11,Half_Year_2017_Schneider_Electric_SE_Earnings_Call_11,11,presentation,Great pleasure to be with you this morning.,,,,,,no_event,,,,QLV,no_event,,,,QJM,no_event,,,,OUW,sentence-level event detection,2021-05-26_10:11:21,,earnings call transcript,various,Half_Year_2017_Schneider_Electric_SE_Earnings_Call
