BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,ADJ_LABEL,ADJ_LABEL2,ADJ_LABEL3,ADJ_COMMENTS,ADJ_ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_0,Q1_2013_PNM_Resources_Earnings_Conference_Call_0,0,operator,"Good day ladies and gentlemen, and welcome to the PNM Resources first-quarter earnings conference call.",,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_1,Q1_2013_PNM_Resources_Earnings_Conference_Call_1,1,operator,"At this time, all participants are in a listen-only mode.",,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_2,Q1_2013_PNM_Resources_Earnings_Conference_Call_2,2,operator,Later we'll conduct a question-and-answer session and instructions will follow at that time.,,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_3,Q1_2013_PNM_Resources_Earnings_Conference_Call_3,3,operator,"(Operator Instructions) As a reminder, this conference is being recorded.",,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_4,Q1_2013_PNM_Resources_Earnings_Conference_Call_4,4,operator,"I would now turn the call over to your host, Jimmie Blotter.",,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_5,Q1_2013_PNM_Resources_Earnings_Conference_Call_5,5,operator,Please go ahead.,,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_6,Q1_2013_PNM_Resources_Earnings_Conference_Call_6,6,presentation,"Thank you, Stephanie, and thank you, everyone, for joining us this morning for the PNM Resources' first-quarter 2013 earnings conference call.",,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_7,Q1_2013_PNM_Resources_Earnings_Conference_Call_7,7,presentation,Please note that the presentation for this conference call and other supporting documents are available on our website at pnmresources.com.,,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_8,Q1_2013_PNM_Resources_Earnings_Conference_Call_8,8,presentation,"Joining me today are PNM Resources' Chairman, President and CEO, Pat Vincent-Collawn; and Chuck Eldred, our CFO' as well as several other members of our Executive Management team.",,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f,938600092253a623607c5081c888c5e8e7f06e1f_11,Q1_2013_PNM_Resources_Earnings_Conference_Call_11,11,presentation,"For a detailed discussion of factors affecting PNM Resources results, please refer to our current and future annual reports on Form 10-K, quarterly reports on Form 10-Q as well as reports on Form 8-K filed with the SEC.",,,,,,no_event,,,,SRD,no_event,,,,YH6,no_event,,,,M5M,sentence-level event detection,2021-05-26_10:11:16,,earnings call transcript,various,Q1_2013_PNM_Resources_Earnings_Conference_Call
