BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,ADJ_LABEL,ADJ_LABEL2,ADJ_LABEL3,ADJ_COMMENTS,ADJ_ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_0,Q3_2020_Dow_Inc_Earnings_Call_0,0,operator,Good day and welcome to the Dow Third Quarter 2020 Earnings Call.,,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_2,Q3_2020_Dow_Inc_Earnings_Call_2,2,operator,"I would now like to turn the call over to Colleen Kay, Vice President, Investor Relations.",,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_3,Q3_2020_Dow_Inc_Earnings_Call_3,3,operator,"Please go ahead, ma'am.",,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_4,Q3_2020_Dow_Inc_Earnings_Call_4,4,presentation,"Good morning, everyone.",,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_5,Q3_2020_Dow_Inc_Earnings_Call_5,5,presentation,Thank you for joining us to discuss the third quarter financial results for Dow.,,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_6,Q3_2020_Dow_Inc_Earnings_Call_6,6,presentation,"We're making this call available via webcast, and we have prepared slides to supplement our comments during this conference call.",,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_7,Q3_2020_Dow_Inc_Earnings_Call_7,7,presentation,They are posted on the Investor Relations section of Dow's website and through the link to our webcast.,,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_8,Q3_2020_Dow_Inc_Earnings_Call_8,8,presentation,"I'm Colleen Kay, Investor Relations Vice President for Dow, and joining me on the call today are Jim Fitterling, Dow's Chairman and Chief Executive Officer; and Howard Ungerleider, President and Chief Financial Officer.",,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_9,Q3_2020_Dow_Inc_Earnings_Call_9,9,presentation,Please read the forward-looking statement disclaimer contained in the earnings news release and slides.,,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9,2405c5700b11cf104d638fdf564aa65bef0d2ca9_12,Q3_2020_Dow_Inc_Earnings_Call_12,12,presentation,Dow's Forms 10-Q and 10-K include detailed discussions of principal risks and uncertainties which may cause such differences.,,,,,,no_event,,,,QLT,no_event,,,,QLU,no_event,,,,SRD,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q3_2020_Dow_Inc_Earnings_Call
