BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_0,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_0,0,presentation,(Interpreted).,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_1,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_1,1,presentation,"Ladies and gentlemen, good morning.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_2,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_2,2,presentation,Good morning.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_3,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_3,3,presentation,We're delighted as always to have you this morning with Christophe Cros.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_4,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_4,4,presentation,We are going to present the 2015 annual results for Suez.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_5,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_5,5,presentation,"First of all, I would like to thank those of you who came this morning and I would like to remind you that this presentation will be available through the webcast.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_6,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_6,6,presentation,You will be able to download it as well from the Group's -- the Company's website.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_7,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_7,7,presentation,"Before getting started and commenting on the Company's performance, I would like to remind you that the Suez's activities is trying to address the challenges of this century.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_8,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_8,8,presentation,We are very much engaged in the resource revolution.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_9,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_9,9,presentation,"During COP21, all players, both civil society, the corporate world were mobilized.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_10,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_10,10,presentation,"It was a turning point, a decisive event, during which Suez was actively present.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_11,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_11,11,presentation,We're very proud to take part and feel that we can fully contribute by addressing the challenges of today's world with some of our technologies and solutions in order to save our planet.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_12,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_12,12,presentation,My presentation will be as follows.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_13,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_13,13,presentation,We will start off by a presentation on the 2015 performance.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_14,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_14,14,presentation,"And I can say that we are quite satisfied because we reached, even outperformed, our objectives.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_15,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_15,15,presentation,This performance is based primarily on progress made by the Company in the commercial area.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_16,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_16,16,presentation,We had a number of successes around the globe.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_17,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_17,17,presentation,"The results are remarkable, especially given the fact that the global context has been much more complicated than initially anticipated at the beginning of 2015.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_18,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_18,18,presentation,Good morning.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_19,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_19,19,presentation,"As for 2016, well, I feel confident.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_20,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_20,20,presentation,I feel confident because Suez is a very well-balanced company.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_21,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_21,21,presentation,"However, I think we have to become more vigilant.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_22,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_22,22,presentation,"There are uncertainties, geopolitical uncertainties, emerging countries, the production crisis in Europe, and we have to remain cautious.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_23,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_23,23,presentation,"And for that reason, we've decided to accelerate the transformation of Suez to make it a more integrated company, to make it a company able to address sustainable requirements and needs and manage resources in a more sustainable way going forward.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_24,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_24,24,presentation,I will wrap up by giving you an overview of our financial performance for 2015.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_25,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_25,25,presentation,"So, before diving into the figures, I would like to come back to one important component of Suez's transformation throughout 2015.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_26,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_26,26,presentation,"The name, as you know, the name is now shared by all.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_27,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_27,27,presentation,In the past we had 40 different brands.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_28,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_28,28,presentation,And this is a significant sign of progress.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_29,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_29,29,presentation,And we're now an integrated company and it is a sign for more collaboration between the employees.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_30,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_30,30,presentation,And it is a sign as well of progress for our customers.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_31,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_31,31,presentation,Since March 2015 we have all become ambassadors of the Suez brand and we are all firmly committed to become a benchmark in the industry.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_32,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_32,32,presentation,"Our visibility for the outside world has been significantly improved and increased, and we are already seeing benefits with recently signed contracts.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_33,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_33,33,presentation,I would like to comment on two important external growth that happened in 2015.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_34,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_34,34,presentation,"As you know, with the Chongqing authorities in China, we have an agreement.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_35,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_35,35,presentation,This is a company which is active in both water and waste treatment.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_36,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_36,36,presentation,"It is a very active region, the Sichuan region.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_37,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_37,37,presentation,But it's not limited to that region only.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_38,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_38,38,presentation,It's very active throughout China and in the region.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_39,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_39,39,presentation,"Another important operation is minority buyback of an Australian company, and with very good financial conditions.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_40,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_40,40,presentation,"And with this, we're going to be able to deploy an integration strategy which is the same strategy we've deployed around the globe.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986,8071555fb98135ba2baf09496de51f20dcea6986_41,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call_41,41,presentation,"This is the integration of our two activities, water and waste.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2015_Suez_Environnement_Company_SA_Earnings_Call
