BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_0,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_0,0,presentation,"Good morning, everyone.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_1,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_1,1,presentation,"My name is Ben Spincer, and on behalf of Telstra I'd like to welcome you to our full year results for financial year 2012.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_2,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_2,2,presentation,"I'd like to welcome those of you here in Melbourne, those of you listening on the phone, and those on the webcast.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_3,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_3,3,presentation,"Without further ado, I will hand over to the Chief Executive, David Thodey, to run you through the results.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_5,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_5,5,presentation,"Thanks, Ben, and let me add my welcome to you all; good to see you here this morning.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_6,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_6,6,presentation,"Well, the full year '12 results, what we thought we'd do today is go through three things.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_7,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_7,7,presentation,"I'm going to give you a brief introduction just on the highlights of the year, then I'm glad to have Andy Penn, our CFO, here and he's going to take you through the numbers in more detail.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_8,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_8,8,presentation,"Then I'll come back and give you a bit of an update on the big strategic priorities we've been working on, and how I see those going.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_9,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_9,9,presentation,So the year in review.,,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504,a47ecbfd85edf33d7bcd9e6752872cb9c7785504_10,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation_10,10,presentation,"Well, we've had a strong year, and I'm delighted to say we've delivered on our commitments.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,Preliminary_2012_TELSTRA_CORPORATION_LIMITED_Earnings_Presentation
