BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_0,Q1_2020_Anthem_Inc_Earnings_Call_0,0,operator,"Ladies and gentlemen, thank you for standing by and welcome to Anthem First Quarter Earnings Conference Call.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_1,Q1_2020_Anthem_Inc_Earnings_Call_1,1,operator,"(Operator Instructions) As a reminder, today's conference is being recorded.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_2,Q1_2020_Anthem_Inc_Earnings_Call_2,2,operator,I would now like to turn the conference over to the company's management.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_3,Q1_2020_Anthem_Inc_Earnings_Call_3,3,operator,Please go ahead.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_4,Q1_2020_Anthem_Inc_Earnings_Call_4,4,presentation,Good morning and welcome to Anthem's First Quarter 2020 Earnings Call.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_5,Q1_2020_Anthem_Inc_Earnings_Call_5,5,presentation,"This is Chris Rigg, Vice President of Investor Relations.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_6,Q1_2020_Anthem_Inc_Earnings_Call_6,6,presentation,"And with us this morning are Gail Boudreaux, President and CEO; John Gallina, our CFO; Pete Haytaian, President of our Commercial and Specialty Business Division; and Felicia Norwood, President of our Government Business Division.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_10,Q1_2020_Anthem_Inc_Earnings_Call_10,10,presentation,"Listeners are cautioned that these statements are subject to certain risks and uncertainties, many of which are difficult to predict and generally beyond the control of Anthem.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_11,Q1_2020_Anthem_Inc_Earnings_Call_11,11,presentation,These risks and uncertainties can cause actual results to differ materially from our current expectation.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_12,Q1_2020_Anthem_Inc_Earnings_Call_12,12,presentation,We advise listeners to carefully review the risk factors discussed in today's press release and in our quarterly filings with the SEC.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_13,Q1_2020_Anthem_Inc_Earnings_Call_13,13,presentation,I will now turn the call over to Gail.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_14,Q1_2020_Anthem_Inc_Earnings_Call_14,14,presentation,"Good morning, and thank you for joining us.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_15,Q1_2020_Anthem_Inc_Earnings_Call_15,15,presentation,"Across the globe, and right here at home, we're facing a critical humanitarian crisis.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_16,Q1_2020_Anthem_Inc_Earnings_Call_16,16,presentation,"All of us are impacted, and our hearts go out to those struggling.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608,796367ef9c39c3ba2fc2a4cd5724a2d083250608_17,Q1_2020_Anthem_Inc_Earnings_Call_17,17,presentation,"I will focus my comments this morning on the impacts of the COVID-19 global health crisis on our business, along with the actions we've taken to provide support and relief.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2020_Anthem_Inc_Earnings_Call
