BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_0,Q3_2015_Verisign_Inc_Earnings_Call_0,0,operator,"Good day, everyone, and welcome to VeriSign's third-quarter 2015 earnings conference call.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_1,Q3_2015_Verisign_Inc_Earnings_Call_1,1,operator,"Just a reminder that this conference is being recorded, and unauthorized recording of this call is not permitted.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_2,Q3_2015_Verisign_Inc_Earnings_Call_2,2,operator,"At this time I would like to turn the conference over to Mr. David Atchley, Vice President of Investor Relations and Corporate Treasurer.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_3,Q3_2015_Verisign_Inc_Earnings_Call_3,3,operator,"Please go ahead, sir.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_4,Q3_2015_Verisign_Inc_Earnings_Call_4,4,presentation,"Thank you, operator, and good afternoon, everyone.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_5,Q3_2015_Verisign_Inc_Earnings_Call_5,5,presentation,Welcome to VeriSign's third-quarter 2015 earnings call.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_6,Q3_2015_Verisign_Inc_Earnings_Call_6,6,presentation,"With me are Jim Bidzos, Executive Chairman, President, and CEO; Todd Strubbe, Executive Vice President and COO; and George Kilguss, Senior Vice President and CFO.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_7,Q3_2015_Verisign_Inc_Earnings_Call_7,7,presentation,This call and our presentation are being webcast from the Investor Relations section of our verisign.com website.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_8,Q3_2015_Verisign_Inc_Earnings_Call_8,8,presentation,There you will also find our third-quarter 2015 earnings release.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6,05d7a5b6f0c24fea77b849ac0ea740c1a1935ad6_9,Q3_2015_Verisign_Inc_Earnings_Call_9,9,presentation,"At the end of this call, the presentation will be available on that site, and within a few hours, the replay of the call will be posted.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q3_2015_Verisign_Inc_Earnings_Call
