BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_0,Q4_2017_Triumph_Group_Inc_Earnings_Call_0,0,operator,"Ladies and gentlemen, thank you for standing by.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_1,Q4_2017_Triumph_Group_Inc_Earnings_Call_1,1,operator,Welcome to the Triumph Group's Conference Call to discuss our fourth quarter and full fiscal year 2017 results.,,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_2,Q4_2017_Triumph_Group_Inc_Earnings_Call_2,2,operator,This call is being carried live on the Internet.,,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_3,Q4_2017_Triumph_Group_Inc_Earnings_Call_3,3,operator,There is also a slide presentation included with the audio portion of the webcast.,,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_4,Q4_2017_Triumph_Group_Inc_Earnings_Call_4,4,operator,(Operator Instructions),,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_5,Q4_2017_Triumph_Group_Inc_Earnings_Call_5,5,operator,"On behalf of the company, I would now like to read the following statement.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_9,Q4_2017_Triumph_Group_Inc_Earnings_Call_9,9,operator,"In addition, please note that this call is the property of Triumph Group, Inc.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_10,Q4_2017_Triumph_Group_Inc_Earnings_Call_10,10,operator,"and may not be recorded, transcribed or rebroadcast without explicit written approval.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_11,Q4_2017_Triumph_Group_Inc_Earnings_Call_11,11,operator,"At this time, I would like to introduce Daniel J. Crowley, the company's President and Chief Executive Officer; and James S. McCabe, Jr., Senior Vice President and Chief Financial Officer of Triumph Group, Inc.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3,31ace654918595a19972c3a6897b81137fb473a3_12,Q4_2017_Triumph_Group_Inc_Earnings_Call_12,12,operator,"Please go ahead, Mr. Crowley.",,,,,,sentence-level event detection,2021-05-26_10:11:19,,earnings call transcript,various,Q4_2017_Triumph_Group_Inc_Earnings_Call
