BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_0,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_0,0,operator,"Good day, ladies and gentlemen, and welcome to ALFA's First Quarter 2013 Earnings Conference Call.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_1,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_1,1,operator,"At this time, all participants are in a listen only mode.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_2,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_2,2,operator,"Later, we will conduct a question-and-answer session and instructions will be provided at that time.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_3,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_3,3,operator,"As a reminder, today's conference is being recorded.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_4,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_4,4,operator,"Now I would like to turn the conference over to Mr. Enrique Flores, vice president of corporate communications.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_5,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_5,5,operator,"Mr. Flores, you may begin.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_6,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_6,6,presentation,Thank you very much.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_7,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_7,7,presentation,Good morning everybody and welcome to ALFA's first quarter 2013 conference call.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_8,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_8,8,presentation,I would like to point out at that during this call we will be sharing forward-looking information with you and some statements which are based on the variables and assumptions that are uncertain.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0,02c35a6b03ea086c584803387aa289ffbe5497d0_9,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call_9,9,presentation,"Therefore, actual results could vary from those mentioned in this conference.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2013_Alfa_SAB_de_CV_Earnings_Conference_Call
