BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_0,Q1_2014_TDC_A/S_Earnings_Conference_Call_0,0,presentation,Welcome to the call.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_1,Q1_2014_TDC_A/S_Earnings_Conference_Call_1,1,presentation,It's Carsten Dilling here.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_2,Q1_2014_TDC_A/S_Earnings_Conference_Call_2,2,presentation,"I'm together with our CFO, Pernille Erenbjerg, and our Head of Investor Relations, Flemming Jacobsen.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_3,Q1_2014_TDC_A/S_Earnings_Conference_Call_3,3,presentation,I will take you through the highlights of TDC's first quarter and Pernille will go deeper into financials before we proceed to Q&A.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_4,Q1_2014_TDC_A/S_Earnings_Conference_Call_4,4,presentation,Let us move to the presentation on page number 3.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_5,Q1_2014_TDC_A/S_Earnings_Conference_Call_5,5,presentation,"Overall, our Q1 results were satisfactory, especially EBITDA and cash flow.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_6,Q1_2014_TDC_A/S_Earnings_Conference_Call_6,6,presentation,"Our EBITDA was almost flat after eight quarters with consecutive smaller declines and adjusted ForEx impact, and impact from primarily roaming regulation, what we label organic terms.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_7,Q1_2014_TDC_A/S_Earnings_Conference_Call_7,7,presentation,EBITDA was up 0.9%.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_8,Q1_2014_TDC_A/S_Earnings_Conference_Call_8,8,presentation,"This was driven by better than expected OpEx reductions around, 5.3% savings, and also that we experienced the best development in our organic gross profit in for years.",,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8,1920ef9bd1f2ee3c7599d3281201762b93eeb9a8_9,Q1_2014_TDC_A/S_Earnings_Conference_Call_9,9,presentation,We adjusted our guidance slightly last week to take into account the divestment of our Finnish subsidiaries.,,,,,,sentence-level event detection,2021-05-26_10:11:20,,earnings call transcript,various,Q1_2014_TDC_A/S_Earnings_Conference_Call
