BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_0,Q1_2018_Halyk_Bank_AO_Earnings_Call_0,0,operator,"Good day, and welcome to the JSC Halyk Bank First Quarter 2018 Results Conference Call.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_1,Q1_2018_Halyk_Bank_AO_Earnings_Call_1,1,operator,"At this time, I'd like to turn the conference over to Mira Kasenova.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_2,Q1_2018_Halyk_Bank_AO_Earnings_Call_2,2,operator,Please go ahead.,,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_4,Q1_2018_Halyk_Bank_AO_Earnings_Call_4,4,presentation,"Good evening, ladies and gentlemen.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_5,Q1_2018_Halyk_Bank_AO_Earnings_Call_5,5,presentation,Welcome to Halyk Bank Conference Call and Presentation of Financial Results for the First Quarter of 2018.,,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_6,Q1_2018_Halyk_Bank_AO_Earnings_Call_6,6,presentation,"Participants in today's call on Halyk Bank side are Ms. Umut Shayakhmetova, Chief Executive Officer of Halyk Bank; Mr. Ulf Wokurka, CEO of KKB; Ms. Aliya Karpykova, Deputy CEO, Chief Financial Officer; Mr. Murat Koshenov, Deputy CEO, Corporate Banking and International Activities; Mr. Yertai Salimov, Deputy CEO, Operations and Treasury; Mr. Almas Makhanov, Chief Risk Officer; and myself, Mira Kasenova, Head of Financial Institutions and International Relations.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_7,Q1_2018_Halyk_Bank_AO_Earnings_Call_7,7,presentation,"During Q1 2018, the bank earned net income of KZT 62.1 billion, which is 63.1% higher compared to Q4 2017 due to decrease of credit loss expense.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_8,Q1_2018_Halyk_Bank_AO_Earnings_Call_8,8,presentation,"Credit loss expense decreased by 88%, mainly due to repayment of problem indebtedness by some of KKB's clients in Q1 2018 and one-off additional provisions created on impaired loans of KKB and its Russian subsidiary in Q4 2017.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_9,Q1_2018_Halyk_Bank_AO_Earnings_Call_9,9,presentation,"Compared with Q4 2017, net interest income decreased by 9% to KZT 74.4 billion, mainly due to decline in interest rates on loans to customers, amortization of a discount on perpetual bond redeemed by KKB in Q1 2018 and reclassification of KKB interest income from amortization of discount on receivables into other income.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_10,Q1_2018_Halyk_Bank_AO_Earnings_Call_10,10,presentation,"Due to IFRS 9, KKB's income from amortization of discount on receivables on sale of assets in installments in Q1 2018 were reflected in other income from banking activities instead of interest income from loans to customers, as it was done in Q4 2017 for KZT 3.4 billion.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b,c03166b0bd77b6c11b8720c961010f7717f4487b_11,Q1_2018_Halyk_Bank_AO_Earnings_Call_11,11,presentation,"Excluding this effect, interest income for Q4 2017 would be KZT 163.9 billion, while net interest margin and spread would be 4.7% and 5.2%, respectively, versus 4.6% and 4.7% in Q1 2018.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q1_2018_Halyk_Bank_AO_Earnings_Call
