BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_0,Q1_2018_Wesco_International_Inc_Earnings_Call_0,0,operator,"Good day, and welcome to the WESCO First Quarter 2018 Earnings Conference Call and Webcast.",,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_1,Q1_2018_Wesco_International_Inc_Earnings_Call_1,1,operator,(Operator Instructions),,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_2,Q1_2018_Wesco_International_Inc_Earnings_Call_2,2,operator,Please note this event is being recorded.,,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_3,Q1_2018_Wesco_International_Inc_Earnings_Call_3,3,operator,"I would now like to turn the conference over to Mary Ann Bell, Vice President of Investor Relations.",,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_4,Q1_2018_Wesco_International_Inc_Earnings_Call_4,4,operator,Please go ahead.,,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_5,Q1_2018_Wesco_International_Inc_Earnings_Call_5,5,presentation,"Good morning, ladies and gentlemen, and thank you, Eugenia.",,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_6,Q1_2018_Wesco_International_Inc_Earnings_Call_6,6,presentation,Thank you for joining us for WESCO International's conference call to review our first quarter financial results.,,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_7,Q1_2018_Wesco_International_Inc_Earnings_Call_7,7,presentation,"Joining me on today's call are John Engel, Chairman, President and CEO; and Dave Schulz, Senior Vice President and Chief Financial Officer.",,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_12,Q1_2018_Wesco_International_Inc_Earnings_Call_12,12,presentation,Means to access this conference call via webcast was disclosed in the press release and was posted on our corporate website.,,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d,aa81470a18cd5865927b093300e0b21290d40a7d_13,Q1_2018_Wesco_International_Inc_Earnings_Call_13,13,presentation,Replays of this conference call will be archived and available for the next 7 days.,,,,,,sentence-level event detection,2021-05-26_10:11:17,,earnings call transcript,various,Q1_2018_Wesco_International_Inc_Earnings_Call
