BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_0,Q2_2017_Swedbank_AB_Earnings_Call_0,0,operator,"Ladies and gentlemen, welcome to the Swedbank Second Quarter Report 2017.",,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_1,Q2_2017_Swedbank_AB_Earnings_Call_1,1,operator,"Today, I am pleased to present Gregori Karamouzis, Head of Investor Relations.",,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_2,Q2_2017_Swedbank_AB_Earnings_Call_2,2,operator,"(Operator Instructions) Speaker, please begin your meeting.",,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_3,Q2_2017_Swedbank_AB_Earnings_Call_3,3,presentation,"Thank you, and good morning, everyone, thank you for joining our conference call for the second quarter result.",,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_4,Q2_2017_Swedbank_AB_Earnings_Call_4,4,presentation,"With me, I have Birgitte Bonnesen, our CEO; Anders Karlsson, our CFO; and Helo Meigas, our Chief Risk Officer.",,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_5,Q2_2017_Swedbank_AB_Earnings_Call_5,5,presentation,I'll hand over to Birgitte initially.,,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_6,Q2_2017_Swedbank_AB_Earnings_Call_6,6,presentation,Birgitte?,,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_7,Q2_2017_Swedbank_AB_Earnings_Call_7,7,presentation,"Thank you, and a warmly welcome to this strong Q2 quarter result.",,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_8,Q2_2017_Swedbank_AB_Earnings_Call_8,8,presentation,We delivered another quarter that has been very much characterized by both focus and execution.,,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7,46134257eff9322dbacb6d9be90f778bf61445a7_9,Q2_2017_Swedbank_AB_Earnings_Call_9,9,presentation,Profitability is strong and activity very high.,,,,,,sentence-level event detection,2021-06-10_10:53:23,,earnings call transcript,various,Q2_2017_Swedbank_AB_Earnings_Call
