BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_0,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_0,0,operator,"Good  morning,  ladies and  gentlemen.",,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_1,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_1,1,operator,Welcome  to  the  ATS  Automation second  quarter  conference  call.,,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_2,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_2,2,operator,"I would like to remind you that this conference  call is  being  recorded  on  November  6,  2013,  at  10.00 AMEastern Time.",,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_3,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_3,3,operator,Following the presentation we will conduct a question-and-answer session.,,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_4,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_4,4,operator,Instructions will provided at that time for the queue up for questions.,,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_5,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_5,5,operator,(Operator  Instructions).,,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_6,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_6,6,operator,"I  would  now like  to  turn  the call over  to  Stewart  McCuaig,  Vice President, General  Counsel  of  ATS.",,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_7,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_7,7,operator,"Please go ahead, sir.",,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_8,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_8,8,presentation,"Thanks, operator, and good morning, everyone.",,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069,a6bd1b22af8075b416688f9c69a2ec75d3029069_9,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call_9,9,presentation,"Your main  hosts  today are  Anthony  Caputo, Chief Executive Officer of ATS,  and  Maria  Perrella,  Chief Financial  Officer.",,,,,,sentence-level event detection,2021-06-10_10:53:22,,earnings call transcript,various,Q2_2014_ATS_Automation_Tooling_Systems_Inc_Earnings_Conference_Call
