BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_0,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_0",0,operator,"Good day, ladies and gentlemen, and welcome to Q1 of 2013 Huntington Ingalls Industries earnings conference call.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_1,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_1",1,operator,"My name is Sandra, and I will be your operator today.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_2,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_2",2,operator,"At this time, all participants are in a listen-only line.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_3,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_3",3,operator,We will conduct a Q&A session towards the end of the conference.,,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_4,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_4",4,operator,(Operator Instructions),,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_6,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_6",6,operator,"I would now like to hand the call over to Dwayne Blake, VP of Investor Relations.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_7,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_7",7,operator,Please go ahead.,,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_9,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_9",9,presentation,"Good morning, and welcome to the Huntington Ingalls Industries first-quarter 2013 earnings conference call.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_10,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_10",10,presentation,"With us today are Mike Petters, President and Chief Executive Officer; and Barb Niland, Corporate Vice President, Business Management and Chief Financial Officer.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_12,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_12",12,presentation,Actual results may differ.,,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_13,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_13",13,presentation,Please refer to our SEC filings for a description of some of the factors that may cause actual results to vary materially from anticipated results.,,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_15,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_15",15,presentation,Reconciliations of these metrics to the comparable GAAP measures are included in the appendix of our earnings presentation that is posted on our website.,,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_16,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_16",16,presentation,We plan to address the posted presentation slides during the call to supplement our comments.,,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_17,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_17",17,presentation,"Please access our website at www.huntingtoningalls.com and click on the Investor Relations link to view the presentation, as well as our earnings release.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_18,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_18",18,presentation,"With that, I will turn the call over to our President and CEO, Mike Petters.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_19,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_19",19,presentation,Mike?,,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf,3c6785ddb8e2a2b84faa86ec8f1981e00740c5cf_21,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call_21",21,presentation,"Good morning, everyone, and thanks for joining us on today's call.",,,,,,sentence-level event detection,2021-06-10_10:53:19,,earnings call transcript,various,"Q1_2013_Huntington_Ingalls_Industries,_Inc._Earnings_Conference_Call"
