BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_0,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_0,0,operator,"Good day, ladies and gentlemen, and welcome to the Axis Bank conference call to discuss the Q4 and annual FY '18 results.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_1,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_1,1,operator,"Axis Bank team is represented by Mr. Jairam Sridharan, Chief Financial Officer.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_2,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_2,2,operator,Participation in the conference call is by invitation only.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_3,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_3,3,operator,Axis Bank reserves the right to block access to any person to whom an invitation is not sent.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_4,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_4,4,operator,"Unauthorized dissemination of the contents or the proceedings of the call is strictly prohibited, and prior explicit permission and written approval of Axis Bank is imperative.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_5,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_5,5,operator,(Operator Instructions) Please note that this conference is being recorded.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_6,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_6,6,operator,"On behalf of Axis Bank, once again, I welcome all the participants to the Axis Bank Conference Call.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_7,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_7,7,operator,I now hand the conference over to Mr. Jairam Sridharan to brief all the guest on Q4 and annual FY '18 results.,,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_8,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_8,8,operator,"Thank you, and over to you, sir.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d,7e56c687c736eed1bf34caa2d1159848f250442d_10,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call_10,10,presentation,"Ladies and gentlemen, good evening.",,,,,,sentence-level event detection,2021-06-10_10:53:24,,earnings call transcript,various,Full_Year_2018_Axis_Bank_Ltd_Earnings_Call
