BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_0,Q3_2020_Marriott_International_Inc_Earnings_Call_0,0,operator,"Ladies and gentlemen, thank you for standing by, and welcome to Marriott International's Third Quarter 2020 Earnings Conference Call.",,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_1,Q3_2020_Marriott_International_Inc_Earnings_Call_1,1,operator,(Operator Instructions),,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_2,Q3_2020_Marriott_International_Inc_Earnings_Call_2,2,operator,"I would now like to hand the conference over to our speaker today, Arne Sorenson, President and CEO.",,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_3,Q3_2020_Marriott_International_Inc_Earnings_Call_3,3,operator,Please go ahead.,,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_4,Q3_2020_Marriott_International_Inc_Earnings_Call_4,4,presentation,"Good morning, everyone, and welcome to our third quarter 2020 conference call.",,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_5,Q3_2020_Marriott_International_Inc_Earnings_Call_5,5,presentation,"Joining me today are Leeny Oberg, Executive Vice President and Chief Financial Officer; Jackie Burka McConagha, our Senior Vice President, Investor Relations; and Betsy Dahm, Vice President, Investor Relations.",,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_7,Q3_2020_Marriott_International_Inc_Earnings_Call_7,7,presentation,"These statements are subject to numerous risks and uncertainties, as described in our SEC filings, which could cause future results to differ materially from those expressed in or implied by our comments.",,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_8,Q3_2020_Marriott_International_Inc_Earnings_Call_8,8,presentation,Statements in our comments and the press release we issued earlier today are effective only today and will not be updated as actual events unfold.,,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_9,Q3_2020_Marriott_International_Inc_Earnings_Call_9,9,presentation,"Please also note that, unless otherwise stated, our RevPAR and occupancy comments reflect system-wide constant currency year-over-year changes for comparable hotels and include hotels temporarily closed due to COVID-19.",,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
c61f89fc819d52ad7d47da45724ab4aef3e2809a,c61f89fc819d52ad7d47da45724ab4aef3e2809a,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e,4e474e4ba6e35c8cc7dc4bb3b011bfc799cf776e_11,Q3_2020_Marriott_International_Inc_Earnings_Call_11,11,presentation,"Before I talk about the quarter, I want to again thank our incredible team of associates around the world who continue to work tirelessly and show true resilience during these challenging times.",,,,,,sentence-level event detection,2021-06-10_10:53:25,,earnings call transcript,various,Q3_2020_Marriott_International_Inc_Earnings_Call
