BATCH_ID,BATCH_UUID,DOCUMENT_UUID,FILE_UUID,TEXT_UUID,TEXT_ID,ROW_ID,SECTION,TEXT,LABEL,LABEL2,LABEL3,COMMENTS,ANNOTATOR_ID,TASK,TIMESTAMP_DELIVERED_TO_VENDOR,TIMESTAMP_VENDOR_DELIVERY,DOCUMENT_TYPE,SECTOR,SOURCE_DOCUMENT_URI
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_0,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_0,0,operator,Good morning and welcome to Hill-Rom's fiscal fourth-quarter earnings conference call.,,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_1,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_1,1,operator,(Operator Instructions),,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_3,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_3,3,operator,"It cannot be recorded, rebroadcast, or transmitted without Hill-Rom's written consent.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_4,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_4,4,operator,"If you have any objections, please disconnect at this time.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_5,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_5,5,operator,"I would now like to turn the call over to Ms. Mary Kay Ladone, Vice President, Investor Relations at Hill-Rom.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_6,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_6,6,operator,"Ms. Ladone, you may begin.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_8,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_8,8,presentation,"Good morning, everyone.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_9,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_9,9,presentation,Thanks for joining us for our fourth-quarter 2016 earnings conference call.,,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_10,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_10,10,presentation,"Joining me today will be John Greisch, President and Chief Executive Officer of Hill-Rom, and Steve Strobel, Chief Financial Officer.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
eb06640f608eb9bf90843728e9ee293c67bdaa68,eb06640f608eb9bf90843728e9ee293c67bdaa68,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4,f8c8f792256ab4eeeef1eefefec617b7bff074c4_11,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call_11,11,presentation,"On today's call, John will provide an overview and discuss highlights for the quarter and full year.",,,,,,sentence-level event detection,2021-05-26_10:11:15,,earnings call transcript,various,Q4_2016_Hill-Rom_Holdings_Inc_Earnings_Call
