"accountid","amount","transtype","description","transdate","id","completedDate","transactionid","status","Annotator_0_Id","Annotator_0_Category","Annotator_1_Id","Annotator_1_Category","Arbitrator_Id","Arbitrator_Category"
1,600,"debit","HARDWARE , PURCHASE FOR POS hardware","2/18/2020","641bfb1b-3fa7-45a7-864d-3bde006a69d3","8-5-2021 9:51:7",40012548,"Complete","3","Heavy Duty ","5","Category E|Heavy Duty ","6","Heavy Duty "
1,456,"debit","PETER ENGLAND CLOTHS,XYZ Outlet","2/21/2020","c0d6bcd6-564a-49d0-9523-c4c5155a8d81","8-5-2021 9:51:7",40021325,"Complete","3","Cloths","5","Cloths","6","Cloths"
1,10,"credit","CREDIT POINTS PAYMENT,ABC CORP","2/22/2020","7e47bbdd-8161-4f7e-ad0a-0b7ab04f6554","8-5-2021 9:51:7",40021328,"Complete","3","Entertainment","5","Car","6","Entertainment|Food and Bev"
1,232,"debit","CAR REPARING PAYMENT, ABC CORP","2/22/2020","b854cfaf-c4fe-443b-8251-69d05434c17b","8-5-2021 9:51:7",65015210,"Complete","3","Car","5","Car","6","Car"
1,40,"credit","REVERSE TRANSACTION, ABC CORP","2/22/2020","d3a70873-4064-4035-bd36-e6fbc1a78ed3","8-5-2021 9:51:7",79534555,"Complete","3","Heavy Duty ","5","Food and Bev|Cloths","6","Food and Bev|Entertainment"
1,999,"debit","AUTO LOAN PAYMENT,ABC BANK","2/22/2020","a5c741cd-3887-423c-882c-6a3a7f946a3c","8-5-2021 9:51:7",76552585,"Complete","3","Category E","5","Food and Bev|Cloths","6","Food and Bev"
1,175,"debit","AUTO PAYMENT OF MOBILE BILLS,Airtel","2/18/2020","3398dc0a-aa8b-42a0-92cc-c58904b9ccf8","8-5-2021 9:51:7",86945155,"Complete","3","Entertainment","5","Category E|Heavy Duty ","6","Cloths"
1,456,"debit","WINE Purchase,PQR Shop","2/21/2020","1f487c44-4798-4641-8a0c-cb93bbbe1c68","8-5-2021 9:51:7",78645455,"Complete","3","Food and Bev","5","Category E|Heavy Duty ","6","Cloths"
2,40,"credit","Major Pharmaceuticals","2/22/2020","fad92ecc-2e8a-43ba-883b-f047cb05a331","8-5-2021 10:21:11",29534555,"Complete","3","Food and Bev","5","Cloths|Entertainment","6","Food and Bev|Entertainment"
2,999,"debit","Computer Software: Prepackaged Software","2/22/2020","eaed2c65-0083-4a8a-96b2-857d2451f0ba","8-5-2021 10:21:11",36552585,"Complete","3","Heavy Duty ","5","Cloths|Entertainment","6","Food and Bev|Entertainment"
2,456,"debit","Biotechnology: Electromedical & Electrotherapeutic Apparatus","2/21/2020","26809d33-b46b-448e-9d4c-b710801b2b24","8-5-2021 10:21:11",48645455,"Complete","3","Food and Bev","5","Category E|Heavy Duty |Food and Bev","6","Food and Bev"
2,40,"credit","Shoe Manufacturing","2/22/2020","164745fa-3ba3-4e8b-9c14-57409a24b3b0","8-5-2021 10:21:11",59534555,"Complete","3","Entertainment|Heavy Duty |Food and Bev","5","Category E|Heavy Duty |Food and Bev","6","Heavy Duty |Food and Bev"
2,999,"debit","AUTO LOAN PAYMENT,ABC BANK","2/22/2020","e9266ab0-348d-4360-944a-3c87c74518b5","8-5-2021 10:21:11",66552585,"Complete","3","Entertainment|Heavy Duty |Food and Bev","5","Category E|Food and Bev","6","Food and Bev"
2,456,"debit","Television Services","2/21/2020","d06bd0bc-066e-427b-880b-c6534f20c8e6","8-5-2021 10:21:11",88645455,"Complete","3","Entertainment|Heavy Duty |Food and Bev","5","Category E|Heavy Duty |Food and Bev","6","Heavy Duty |Food and Bev"
2,40,"credit","Professional Services","2/22/2020","569a7b96-0cd1-4eaf-b5ef-11e721872ad4","8-5-2021 10:21:11",99534555,"Complete","3","Entertainment|Heavy Duty |Food and Bev","5","Category E|Food and Bev","6","Food and Bev"
2,999,"debit","Business Services","2/22/2020","f2eb9dc9-858d-48c5-b97d-53c954e1cbb2","8-5-2021 10:21:11",76882585,"Complete","3","Food and Bev","5","Category E|Food and Bev","6","Food and Bev"
2,175,"debit","Semiconductors","2/21/2020","74060619-98be-4d85-ac06-7b6053edc1cb","8-5-2021 10:21:11",611321477,"Complete","3","Food and Bev","5","Category E|Food and Bev","6","Food and Bev"
2,456,"debit","Computer Software: Prepackaged Software","2/21/2020","6f23cad4-cc19-4fcb-adfd-b69c60321b30","8-5-2021 10:21:11",18645455,"Complete","3","Heavy Duty ","5","Cloths|Entertainment","6","Heavy Duty "
